PropertyID,Locality,Latitude,Longitude,Price,Area,Bedrooms,Bathrooms,PropertyAge,Parking,PropertyType
1,Perungudi,12.965534,80.249544,15046004,1676,1,1,7,Yes,Apartment
2,Anna Nagar,13.085107,80.200631,9851480,680,5,4,0,Yes,Apartment
3,Tambaram,12.928863,80.096805,16460980,1452,5,4,14,No,Apartment
4,Velachery,12.98605,80.223275,13468808,968,2,2,2,No,Apartment
5,Guindy,13.006264,80.223073,44556824,2746,1,2,3,No,Apartment
6,Anna Salai,13.067506,80.25693,8428038,834,3,3,1,Yes,Villa
7,T Nagar,13.03599,80.22904,41921460,3153,3,4,11,Yes,Villa
8,Anna Salai,13.057989,80.25939,40386301,2737,1,1,23,Yes,Apartment
9,Perungudi,12.968101,80.239723,16631950,1878,5,4,24,Yes,Apartment
10,Anna Nagar,13.084177,80.205398,25895440,1420,2,2,20,No,Villa
11,Tambaram,12.934847,80.092767,33685792,2944,5,4,13,No,Villa
12,Chromepet,12.953528,80.143895,14402084,999,1,1,4,Yes,Independent House
13,Sholinganallur,12.906018,80.233272,46484352,2816,4,4,0,Yes,Independent House
14,Porur,13.047638,80.161739,26863950,2330,1,1,5,No,Apartment
15,Medavakkam,12.92815,80.193388,42070042,3167,1,1,16,Yes,Apartment
16,Guindy,13.018982,80.228074,29022496,3003,5,4,10,No,Apartment
17,Pallikaranai,12.94332,80.22326,13275094,787,3,3,7,Yes,Apartment
18,Medavakkam,12.930349,80.191063,40049920,2496,2,2,17,Yes,Villa
19,Tambaram,12.92393,80.094958,30764654,1826,5,4,12,No,Villa
20,Anna Nagar,13.075144,80.214257,32889072,2959,3,2,17,Yes,Independent House
21,Adyar,13.00227,80.257208,8389522,678,2,1,10,Yes,Independent House
22,Medavakkam,12.914787,80.19578,16633855,1545,2,3,25,No,Villa
23,Porur,13.047883,80.148468,45592172,2462,4,4,23,Yes,Independent House
24,T Nagar,13.034604,80.22737,24000800,1568,3,2,6,Yes,Independent House
25,Chromepet,12.961586,80.152921,42822660,2365,2,1,25,Yes,Apartment
26,Anna Nagar,13.093049,80.203393,31043980,2214,2,2,15,No,Apartment
27,Adyar,13.009937,80.257233,40861365,2413,4,4,9,No,Independent House
28,Tambaram,12.916043,80.101684,11076882,789,3,3,18,Yes,Independent House
29,Medavakkam,12.924801,80.196104,8851404,782,5,4,16,Yes,Apartment
30,Tambaram,12.923284,80.101673,26052869,2883,4,3,7,Yes,Independent House
31,Medavakkam,12.920816,80.196034,17232486,1386,3,3,21,No,Apartment
32,OMR,12.919922,80.221465,15741728,847,4,4,0,No,Independent House
33,Tambaram,12.9206,80.098764,16754968,1092,5,4,11,Yes,Apartment
34,Medavakkam,12.915209,80.184741,33470393,2821,3,2,9,Yes,Apartment
35,Medavakkam,12.916972,80.195285,22499368,1704,2,2,19,Yes,Independent House
36,OMR,12.916587,80.220882,24495742,1578,5,4,1,Yes,Independent House
37,Porur,13.039418,80.148737,17962477,1211,2,2,23,No,Independent House
38,Anna Salai,13.051237,80.246893,19739456,2062,2,1,18,Yes,Villa
39,Anna Salai,13.057474,80.250798,12744440,1410,1,1,21,Yes,Independent House
40,Pallikaranai,12.930587,80.22219,13249714,1519,4,4,5,Yes,Villa
41,Guindy,13.017572,80.214949,14535028,1642,4,4,5,Yes,Villa
42,Pallikaranai,12.940201,80.211669,15296600,1800,4,4,25,Yes,Apartment
43,OMR,12.906623,80.220552,31880580,1988,1,1,20,No,Independent House
44,Anna Salai,13.059091,80.254171,50614272,2928,3,3,8,Yes,Apartment
45,Porur,13.042376,80.146534,18435329,2127,4,3,18,Yes,Villa
46,Anna Salai,13.062863,80.252868,27826769,2041,5,4,13,Yes,Independent House
47,Anna Nagar,13.086088,80.203937,27817368,2222,3,3,10,No,Independent House
48,Perungudi,12.968675,80.237777,51065367,3071,4,4,18,No,Villa
49,Tambaram,12.925123,80.105875,27769454,2454,4,4,14,No,Independent House
50,Guindy,13.013856,80.214993,19571776,1712,2,1,16,No,Apartment
51,Tambaram,12.924008,80.107723,7054627,739,2,1,7,No,Independent House
52,Sholinganallur,12.904752,80.235753,46683352,2574,2,3,12,Yes,Apartment
53,Pallikaranai,12.931984,80.220667,23826872,1446,1,2,5,No,Apartment
54,Chromepet,12.9579,80.15404,47425825,2725,2,3,17,No,Villa
55,T Nagar,13.046836,80.240497,16006446,1201,5,4,23,No,Villa
56,OMR,12.914271,80.22469,28274473,3117,5,4,7,No,Villa
57,Porur,13.042328,80.147785,12105348,1116,3,2,4,Yes,Villa
58,T Nagar,13.049897,80.235382,31647393,2253,3,4,1,Yes,Villa
59,Mylapore,13.040669,80.278769,34012667,2503,1,2,0,No,Villa
60,T Nagar,13.03238,80.230423,40622844,2549,5,4,7,No,Villa
61,Perungudi,12.963288,80.232242,43141408,2464,4,4,4,Yes,Villa
62,Perungudi,12.958547,80.240794,34248051,2441,4,4,5,Yes,Villa
63,Porur,13.04318,80.147542,18653492,2276,4,4,8,Yes,Villa
64,Porur,13.044985,80.158927,8329924,714,2,1,24,Yes,Apartment
65,Tambaram,12.930238,80.093356,12399564,1018,2,3,18,Yes,Villa
66,Sholinganallur,12.904547,80.237063,30473792,1824,1,1,3,Yes,Villa
67,T Nagar,13.048806,80.235708,36524475,2975,2,1,22,Yes,Apartment
68,Anna Nagar,13.076379,80.213051,28276012,1972,5,4,17,No,Independent House
69,Adyar,13.010846,80.25621,16270424,982,4,4,13,No,Independent House
70,Mylapore,13.040115,80.271549,45925792,3072,5,4,25,No,Villa
71,Porur,13.040407,80.15408,28640512,1692,2,1,14,Yes,Villa
72,Adyar,13.003507,80.265106,16534208,1294,4,4,15,Yes,Villa
73,Mylapore,13.033372,80.274863,37912228,2666,3,2,6,Yes,Apartment
74,Mylapore,13.028032,80.273536,30190700,2385,4,4,25,Yes,Apartment
75,OMR,12.906616,80.234057,42350296,2488,5,4,17,No,Villa
76,OMR,12.914858,80.239018,14883252,1494,3,3,3,Yes,Villa
77,Mylapore,13.043132,80.270193,24922324,1436,2,2,23,No,Villa
78,OMR,12.900283,80.230683,21571376,1763,1,1,7,No,Apartment
79,OMR,12.902052,80.220245,42858272,2816,1,1,9,Yes,Independent House
80,OMR,12.918821,80.229555,28214144,2354,4,4,10,Yes,Apartment
81,Pallikaranai,12.943223,80.222683,24714416,2564,1,2,2,Yes,Apartment
82,Anna Nagar,13.090815,80.204614,48531610,2835,2,1,24,No,Independent House
83,Medavakkam,12.925321,80.194793,40554708,2363,4,4,9,No,Villa
84,Mylapore,13.026741,80.263176,26422960,3112,1,1,6,No,Independent House
85,Anna Nagar,13.07963,80.214239,17748082,2223,2,1,14,No,Villa
86,Mylapore,13.034491,80.272653,15373280,1506,4,3,8,Yes,Villa
87,Anna Salai,13.065379,80.250984,15602658,842,3,3,1,Yes,Villa
88,OMR,12.918854,80.230009,35563586,2469,4,3,22,No,Independent House
89,Chromepet,12.953674,80.136717,38827720,2999,4,3,1,No,Independent House
90,Tambaram,12.925279,80.098845,26812324,1653,5,4,18,Yes,Apartment
91,OMR,12.908167,80.226421,41005000,3150,2,3,15,Yes,Villa
92,Anna Nagar,13.093904,80.216371,40923780,2236,2,2,22,No,Villa
93,Medavakkam,12.932304,80.190684,8598090,910,1,2,10,No,Villa
94,Medavakkam,12.925353,80.19257,29482334,2242,1,2,1,Yes,Independent House
95,Chromepet,12.959217,80.145894,23794454,1643,1,1,17,Yes,Villa
96,Adyar,12.998564,80.267345,18893432,1198,5,4,9,Yes,Independent House
97,Anna Salai,13.060577,80.245068,12646211,1031,1,2,20,Yes,Villa
98,Pallikaranai,12.945437,80.213865,17668856,1548,4,4,14,Yes,Villa
